ISP_ID,Engineer_ID,Department,Risk_Level,Completion_Time_Minutes,Quality_Score,Reason_for_Low_Quality,Date,Low_Quality
37,1014,Operations,Medium,24,51,Poor mitigation plan,2023-05-31,1
38,1061,Quality,Low,45,86,Incomplete description,2023-03-23,0
39,1061,Maintenance,Medium,50,55,Late submission,2023-02-19,1
40,1046,Quality,Medium,16,93,Missing risk assessment,2023-07-25,0
41,1061,Safety,Medium,74,67,No issue,2023-03-20,1
42,1050,Maintenance,Low,21,79,Poor mitigation plan,2023-03-20,0
43,1054,Operations,Medium,23,71,Missing risk assessment,2023-03-11,0
44,1063,Maintenance,Medium,30,82,Late submission,2023-01-27,0
45,1002,Engineering,Medium,52,79,Incomplete description,2023-01-15,0
46,1050,Maintenance,Medium,56,66,Poor mitigation plan,2023-02-19,1
47,1006,Engineering,Low,74,92,Missing risk assessment,2023-02-05,0
48,1020,Maintenance,Medium,59,81,Missing risk assessment,2023-01-08,0
49,1072,Engineering,Low,79,91,Missing risk assessment,2023-03-20,0
50,1038,Safety,Medium,37,100,Late submission,2023-05-11,0
51,1017,Quality,Medium,66,63,Late submission,2023-07-09,1
52,1003,Operations,Medium,27,59,Late submission,2023-02-16,1
53,1088,Maintenance,Medium,19,96,No issue,2023-07-24,0
54,1059,Quality,High,31,100,Missing risk assessment,2023-04-15,0
55,1013,Operations,High,79,85,Poor mitigation plan,2023-04-08,0
56,1008,Operations,High,68,83,Late submission,2023-08-04,0
57,1089,Engineering,High,85,58,Late submission,2023-08-20,1
58,1052,Safety,Low,55,91,Missing risk assessment,2023-04-06,0
59,1001,Safety,Low,57,77,Late submission,2023-07-08,0
60,1083,Quality,Medium,82,60,No issue,2023-06-09,1
61,1091,Safety,Low,86,63,No issue,2023-08-10,1
62,1059,Maintenance,Medium,55,88,Late submission,2023-04-26,0
63,1070,Safety,Low,51,96,Missing risk assessment,2023-01-13,0
64,1043,Quality,Medium,8,68,Missing risk assessment,2023-01-01,1
65,1007,Safety,Medium,11,64,Missing risk assessment,2023-02-03,1
66,1046,Maintenance,Medium,39,77,Incomplete description,2023-07-09,0
67,1034,Engineering,Medium,52,73,Late submission,2023-03-20,0
68,1077,Quality,High,77,57,Missing risk assessment,2023-08-24,1
69,1080,Engineering,Medium,76,92,No issue,2023-03-19,0
70,1035,Engineering,High,49,58,Poor mitigation plan,2023-05-01,1
71,1049,Engineering,Low,85,96,Poor mitigation plan,2023-04-03,0
72,1003,Operations,High,85,82,Missing risk assessment,2023-04-08,0
73,1001,Operations,Medium,76,82,Poor mitigation plan,2023-03-23,0
74,1005,Engineering,Low,23,68,Poor mitigation plan,2023-07-18,1
75,1053,Quality,Low,67,52,Incomplete description,2023-08-09,1
76,1003,Maintenance,Medium,42,59,No issue,2023-06-08,1
77,1053,Maintenance,Low,71,89,No issue,2023-07-11,0
78,1092,Safety,Low,63,96,Incomplete description,2023-06-02,0
79,1062,Quality,Medium,73,91,Incomplete description,2023-02-07,0
80,1017,Operations,Medium,17,50,Poor mitigation plan,2023-01-14,1
81,1089,Engineering,Medium,51,78,Late submission,2023-05-16,0
82,1043,Safety,High,65,99,Poor mitigation plan,2023-04-01,0
83,1033,Maintenance,Medium,35,83,Incomplete description,2023-02-23,0
84,1073,Operations,Medium,84,100,No issue,2023-05-10,0
85,1061,Operations,Low,26,62,Poor mitigation plan,2023-07-28,1
86,1099,Engineering,Medium,47,50,Late submission,2023-04-11,1
87,1013,Maintenance,Low,71,83,Poor mitigation plan,2023-07-25,0
88,1094,Quality,High,58,78,Missing risk assessment,2023-03-30,0
89,1047,Operations,High,14,97,Poor mitigation plan,2023-02-25,0
90,1014,Engineering,Medium,46,96,Incomplete description,2023-04-04,0
91,1071,Quality,Low,68,62,No issue,2023-04-03,1
92,1077,Maintenance,High,25,97,No issue,2023-03-25,0
93,1086,Operations,Medium,84,98,Incomplete description,2023-03-26,0
94,1061,Quality,Low,80,78,Missing risk assessment,2023-07-08,0
95,1039,Quality,Low,70,88,Incomplete description,2023-01-22,0
96,1084,Quality,Medium,45,73,Poor mitigation plan,2023-02-04,0
97,1079,Operations,Low,28,75,Incomplete description,2023-08-17,0
98,1081,Operations,High,39,66,Incomplete description,2023-01-16,1
99,1052,Safety,Medium,60,56,Missing risk assessment,2023-02-19,1
100,1023,Maintenance,Low,34,62,Poor mitigation plan,2023-05-02,1
101,1025,Engineering,High,61,54,Late submission,2023-05-08,1
102,1088,Quality,Low,51,75,Late submission,2023-04-23,0
103,1059,Safety,Medium,39,98,No issue,2023-06-20,0
104,1040,Engineering,Low,23,52,Incomplete description,2023-01-17,1
105,1028,Safety,Low,12,56,No issue,2023-03-21,1
106,1014,Operations,Medium,30,98,Missing risk assessment,2023-07-05,0
107,1044,Quality,Medium,75,88,Late submission,2023-05-10,0
108,1064,Engineering,Medium,34,50,Incomplete description,2023-05-12,1
109,1088,Engineering,Medium,11,98,Missing risk assessment,2023-03-26,0
110,1070,Engineering,Medium,71,66,Missing risk assessment,2023-06-16,1
111,1008,Engineering,Low,69,92,Incomplete description,2023-08-14,0
112,1087,Engineering,Low,40,74,Missing risk assessment,2023-04-04,0
113,1000,Safety,High,29,52,Incomplete description,2023-05-14,1
114,1007,Quality,Medium,41,64,Incomplete description,2023-03-22,1
115,1087,Operations,Medium,5,78,Poor mitigation plan,2023-08-19,0
116,1062,Operations,Low,19,92,No issue,2023-08-05,0
117,1010,Operations,Low,41,81,Missing risk assessment,2023-03-10,0
118,1080,Operations,Medium,17,75,Missing risk assessment,2023-03-10,0
119,1007,Safety,High,12,65,Poor mitigation plan,2023-05-28,1
120,1034,Maintenance,Medium,9,74,Poor mitigation plan,2023-07-11,0
121,1034,Quality,High,64,77,Poor mitigation plan,2023-01-16,0
122,1032,Engineering,Medium,77,58,Late submission,2023-02-20,1
123,1004,Maintenance,Low,5,50,Late submission,2023-04-15,1
124,1040,Operations,Medium,40,78,Late submission,2023-06-14,0
125,1027,Maintenance,Low,39,71,Incomplete description,2023-08-20,0
126,1006,Quality,Low,70,65,Missing risk assessment,2023-07-20,1
127,1072,Engineering,High,67,90,No issue,2023-07-16,0
128,1071,Engineering,Medium,27,100,Incomplete description,2023-06-19,0
129,1011,Quality,Medium,13,93,Missing risk assessment,2023-07-04,0
130,1033,Quality,Low,38,100,Missing risk assessment,2023-03-07,0
131,1032,Operations,Low,50,90,Poor mitigation plan,2023-01-09,0
132,1047,Engineering,Low,82,56,Poor mitigation plan,2023-04-17,1
133,1022,Maintenance,Low,8,63,Incomplete description,2023-04-10,1
134,1061,Safety,Medium,34,78,Poor mitigation plan,2023-03-27,0
135,1087,Safety,Low,79,68,Missing risk assessment,2023-03-05,1
136,1036,Quality,Medium,76,68,Poor mitigation plan,2023-08-02,1
137,1098,Operations,Low,7,51,Late submission,2023-01-22,1
138,1043,Safety,Low,18,90,Poor mitigation plan,2023-06-11,0
139,1085,Engineering,Low,64,94,Missing risk assessment,2023-07-02,0
140,1090,Quality,Medium,81,64,Incomplete description,2023-06-06,1
141,1034,Maintenance,Medium,49,52,No issue,2023-06-15,1
142,1064,Quality,Medium,38,60,Poor mitigation plan,2023-04-20,1
143,1098,Maintenance,Medium,49,95,Missing risk assessment,2023-04-07,0
144,1046,Quality,Medium,65,79,No issue,2023-01-18,0
145,1077,Quality,Low,87,89,No issue,2023-03-12,0
146,1002,Quality,Low,20,67,Late submission,2023-07-12,1
147,1000,Maintenance,High,70,100,No issue,2023-05-07,0
148,1004,Maintenance,Medium,44,97,Missing risk assessment,2023-04-07,0
149,1089,Quality,Low,21,51,Missing risk assessment,2023-01-01,1
150,1013,Safety,High,38,81,Poor mitigation plan,2023-08-04,0
151,1026,Operations,Medium,20,57,Poor mitigation plan,2023-05-12,1
152,1008,Operations,Low,64,71,Poor mitigation plan,2023-01-04,0
153,1078,Operations,Medium,70,55,No issue,2023-05-05,1
154,1014,Maintenance,Medium,70,61,No issue,2023-03-23,1
155,1089,Maintenance,Medium,17,96,Late submission,2023-01-27,0
156,1041,Safety,Low,60,89,Poor mitigation plan,2023-06-20,0
157,1076,Operations,Low,35,85,Incomplete description,2023-02-28,0
158,1050,Operations,Medium,38,64,Late submission,2023-02-01,1
159,1062,Quality,Medium,43,77,Incomplete description,2023-06-10,0
160,1095,Maintenance,High,71,98,No issue,2023-01-28,0
161,1051,Operations,Medium,12,94,Late submission,2023-04-16,0
162,1095,Safety,Low,82,67,Late submission,2023-04-15,1
163,1003,Safety,Medium,59,51,Missing risk assessment,2023-07-02,1
164,1093,Operations,Low,31,62,No issue,2023-08-16,1
165,1022,Maintenance,Medium,57,94,No issue,2023-07-07,0
166,1014,Safety,Medium,43,64,Late submission,2023-03-11,1
167,1042,Quality,Low,69,69,No issue,2023-03-03,1
168,1028,Safety,Medium,21,78,Late submission,2023-07-27,0
169,1035,Engineering,Low,34,91,Missing risk assessment,2023-02-03,0
170,1012,Engineering,Low,57,78,Late submission,2023-03-28,0
171,1031,Maintenance,Low,17,52,No issue,2023-04-24,1
172,1070,Operations,Low,25,68,No issue,2023-04-16,1
173,1058,Maintenance,High,23,52,Late submission,2023-08-04,1
174,1085,Maintenance,Medium,57,63,Late submission,2023-02-25,1
175,1027,Maintenance,Low,23,89,Late submission,2023-04-23,0
176,1065,Maintenance,Medium,61,53,Poor mitigation plan,2023-01-13,1
177,1041,Quality,Low,29,60,No issue,2023-07-03,1
178,1044,Quality,High,35,80,No issue,2023-01-18,0
179,1061,Safety,Medium,85,92,Poor mitigation plan,2023-07-01,0
180,1056,Engineering,Medium,59,81,Late submission,2023-07-24,0
181,1005,Maintenance,Low,27,76,Missing risk assessment,2023-04-23,0
182,1027,Safety,Medium,36,79,Late submission,2023-08-17,0
183,1027,Engineering,Medium,66,92,Late submission,2023-06-20,0
184,1043,Operations,High,78,51,Poor mitigation plan,2023-02-08,1
185,1083,Quality,Low,14,98,No issue,2023-07-08,0
186,1029,Engineering,Low,76,58,Late submission,2023-06-19,1
187,1061,Operations,High,58,77,No issue,2023-07-28,0
188,1074,Engineering,Medium,56,80,Incomplete description,2023-03-20,0
189,1091,Quality,Low,24,83,No issue,2023-05-26,0
190,1088,Quality,Low,36,64,Missing risk assessment,2023-05-31,1
191,1061,Safety,High,18,97,Missing risk assessment,2023-07-01,0
192,1096,Maintenance,Low,54,74,Late submission,2023-01-30,0
193,1000,Engineering,Medium,32,85,No issue,2023-04-08,0
194,1026,Engineering,Medium,57,57,Late submission,2023-02-27,1
195,1061,Operations,Low,28,58,Poor mitigation plan,2023-07-15,1
196,1076,Quality,Medium,83,86,Missing risk assessment,2023-03-08,0
197,1002,Engineering,Low,26,97,Late submission,2023-03-12,0
198,1069,Quality,Low,34,94,Poor mitigation plan,2023-05-26,0
199,1071,Engineering,Medium,67,88,Late submission,2023-04-16,0
200,1026,Safety,High,8,81,No issue,2023-01-07,0
201,1008,Maintenance,Medium,81,66,No issue,2023-02-09,1
202,1061,Engineering,Medium,63,84,No issue,2023-03-11,0
203,1036,Quality,Low,12,86,No issue,2023-08-02,0
204,1096,Safety,Low,86,68,Incomplete description,2023-07-12,1
205,1050,Engineering,Low,16,93,Poor mitigation plan,2023-03-09,0
206,1043,Operations,Low,35,78,Poor mitigation plan,2023-08-26,0
207,1023,Maintenance,Low,82,56,No issue,2023-02-18,1
208,1078,Engineering,Low,38,77,Incomplete description,2023-02-21,0
209,1058,Safety,Low,86,58,No issue,2023-04-24,1
210,1031,Operations,Low,79,77,Incomplete description,2023-04-17,0
211,1095,Safety,Medium,80,55,No issue,2023-01-29,1
212,1087,Safety,High,53,78,Missing risk assessment,2023-05-29,0
213,1051,Operations,Low,83,66,Missing risk assessment,2023-08-06,1
214,1061,Safety,High,61,65,Late submission,2023-03-19,1
215,1057,Operations,High,30,72,No issue,2023-01-09,0
216,1051,Engineering,Low,22,80,Poor mitigation plan,2023-06-24,0
217,1011,Operations,Medium,42,52,Late submission,2023-03-17,1
218,1038,Operations,Medium,85,70,Missing risk assessment,2023-02-11,0
219,1001,Maintenance,Medium,54,75,No issue,2023-06-28,0
220,1002,Operations,Low,12,85,Late submission,2023-07-03,0
221,1055,Operations,Medium,45,91,No issue,2023-06-28,0
222,1080,Engineering,Low,10,86,Missing risk assessment,2023-07-17,0
223,1058,Maintenance,Medium,73,71,Late submission,2023-05-08,0
224,1001,Quality,Medium,48,91,Missing risk assessment,2023-01-20,0
225,1001,Engineering,Medium,68,61,Incomplete description,2023-08-04,1
226,1091,Engineering,Medium,33,91,Missing risk assessment,2023-06-04,0
227,1053,Quality,Medium,32,62,No issue,2023-06-15,1
228,1086,Operations,Low,15,60,Poor mitigation plan,2023-03-13,1
229,1095,Safety,Low,69,65,Missing risk assessment,2023-03-06,1
230,1096,Maintenance,High,23,57,Poor mitigation plan,2023-07-01,1
231,1000,Safety,Low,13,89,Incomplete description,2023-04-23,0
232,1018,Quality,Low,31,89,Late submission,2023-01-24,0
233,1001,Engineering,Low,38,94,Late submission,2023-05-08,0
234,1052,Engineering,Low,48,51,Poor mitigation plan,2023-06-24,1
235,1043,Maintenance,High,72,79,Late submission,2023-07-18,0
236,1089,Engineering,Medium,86,79,Missing risk assessment,2023-03-24,0
237,1031,Engineering,High,19,61,Poor mitigation plan,2023-08-02,1
238,1069,Maintenance,Medium,55,59,No issue,2023-03-04,1
239,1031,Maintenance,Medium,17,93,Missing risk assessment,2023-07-04,0
240,1067,Quality,Low,87,60,Missing risk assessment,2023-07-02,1
241,1054,Engineering,Medium,53,64,Missing risk assessment,2023-03-01,1
242,1074,Engineering,Low,74,65,No issue,2023-04-09,1
243,1055,Quality,High,60,66,Incomplete description,2023-03-03,1
244,1016,Operations,High,80,75,Late submission,2023-01-30,0
245,1037,Operations,Low,55,51,Poor mitigation plan,2023-08-09,1
246,1023,Operations,High,41,99,Incomplete description,2023-01-22,0
247,1068,Quality,High,21,61,Poor mitigation plan,2023-07-22,1
248,1097,Engineering,Medium,62,100,Late submission,2023-07-31,0
249,1069,Quality,Low,33,75,No issue,2023-05-06,0
250,1085,Quality,Medium,37,72,Missing risk assessment,2023-06-06,0
251,1010,Operations,Medium,64,67,Missing risk assessment,2023-06-18,1
252,1015,Safety,Low,59,81,No issue,2023-02-11,0
253,1096,Engineering,Low,14,98,Incomplete description,2023-04-08,0
254,1072,Operations,Medium,51,87,Incomplete description,2023-07-12,0
255,1058,Safety,Low,27,96,Poor mitigation plan,2023-01-31,0
256,1069,Safety,Medium,89,52,No issue,2023-06-07,1
257,1079,Maintenance,High,25,87,Incomplete description,2023-04-22,0
258,1092,Engineering,High,17,52,No issue,2023-05-26,1
259,1002,Safety,Low,37,79,Late submission,2023-05-02,0
260,1019,Operations,High,28,50,Missing risk assessment,2023-01-17,1
261,1058,Maintenance,Low,15,79,Missing risk assessment,2023-02-07,0
262,1035,Engineering,Low,21,94,Missing risk assessment,2023-05-22,0
263,1018,Quality,Medium,72,81,No issue,2023-08-03,0
264,1089,Operations,Low,51,77,No issue,2023-08-05,0
265,1066,Safety,Low,29,70,Poor mitigation plan,2023-07-26,0
266,1018,Safety,Medium,77,95,Missing risk assessment,2023-04-20,0
267,1019,Operations,Low,25,62,Poor mitigation plan,2023-07-03,1
268,1095,Safety,Low,88,76,Missing risk assessment,2023-01-22,0
269,1070,Maintenance,Medium,87,85,Poor mitigation plan,2023-07-14,0
270,1051,Engineering,Medium,87,56,Poor mitigation plan,2023-02-25,1
271,1032,Maintenance,Medium,16,71,Late submission,2023-04-29,0
272,1039,Safety,Low,41,59,Poor mitigation plan,2023-05-27,1
273,1038,Quality,Medium,46,88,No issue,2023-02-26,0
274,1081,Engineering,Low,21,64,Poor mitigation plan,2023-06-21,1
275,1000,Engineering,Low,52,64,Missing risk assessment,2023-08-14,1
276,1010,Operations,Medium,32,53,Poor mitigation plan,2023-02-04,1
277,1091,Operations,Low,45,81,Incomplete description,2023-04-24,0
278,1056,Quality,Low,51,72,Missing risk assessment,2023-05-05,0
279,1088,Engineering,Medium,22,55,Incomplete description,2023-05-09,1
280,1049,Quality,Medium,82,73,Missing risk assessment,2023-02-21,0
281,1022,Operations,Medium,75,69,No issue,2023-03-26,1
282,1030,Operations,Low,17,86,No issue,2023-08-09,0
283,1093,Engineering,Low,86,69,No issue,2023-07-17,1
284,1041,Maintenance,Low,17,61,Incomplete description,2023-06-14,1
285,1098,Safety,Low,35,82,Late submission,2023-03-06,0
286,1006,Operations,Medium,6,77,Missing risk assessment,2023-06-28,0
287,1015,Operations,High,20,57,No issue,2023-05-09,1
288,1089,Maintenance,Medium,13,50,Missing risk assessment,2023-08-07,1
289,1059,Maintenance,Medium,77,86,Incomplete description,2023-01-21,0
290,1001,Quality,Medium,42,71,Late submission,2023-06-30,0
291,1000,Quality,Medium,79,55,Incomplete description,2023-01-16,1
292,1047,Safety,Low,58,70,Missing risk assessment,2023-08-24,0
293,1011,Safety,Medium,60,81,Late submission,2023-05-03,0
294,1068,Engineering,Medium,49,84,Late submission,2023-03-02,0
295,1036,Quality,Low,38,64,Incomplete description,2023-02-23,1
296,1031,Operations,Low,13,54,No issue,2023-06-17,1
297,1008,Quality,High,12,95,Missing risk assessment,2023-01-26,0
298,1098,Operations,Low,11,99,Poor mitigation plan,2023-03-21,0
299,1018,Maintenance,Low,40,97,Poor mitigation plan,2023-08-08,0
300,1047,Quality,Medium,22,55,Incomplete description,2023-03-06,1
301,1079,Maintenance,Medium,7,74,Missing risk assessment,2023-04-10,0
302,1002,Safety,Medium,32,95,Missing risk assessment,2023-03-15,0
303,1019,Safety,Medium,74,89,Incomplete description,2023-07-11,0
304,1023,Engineering,Low,48,78,Missing risk assessment,2023-06-20,0
305,1053,Quality,Medium,25,56,No issue,2023-01-17,1
306,1032,Maintenance,Low,32,89,Incomplete description,2023-05-01,0
307,1023,Operations,High,58,62,No issue,2023-07-06,1
308,1074,Safety,Medium,58,87,Missing risk assessment,2023-01-23,0
309,1071,Safety,Low,69,67,Incomplete description,2023-05-15,1
310,1035,Operations,Low,25,51,Missing risk assessment,2023-06-21,1
311,1037,Maintenance,Low,17,57,Incomplete description,2023-06-30,1
312,1083,Maintenance,Low,61,60,Missing risk assessment,2023-03-12,1
313,1098,Quality,Low,53,82,No issue,2023-04-18,0
314,1088,Quality,Medium,58,87,No issue,2023-03-20,0
315,1098,Engineering,Medium,14,97,Missing risk assessment,2023-06-11,0
316,1024,Safety,Low,57,76,Incomplete description,2023-02-15,0
317,1092,Quality,Low,48,69,Poor mitigation plan,2023-08-25,1
318,1017,Maintenance,Low,51,61,No issue,2023-07-15,1
319,1081,Operations,High,57,92,No issue,2023-07-25,0
320,1065,Maintenance,Low,78,80,Poor mitigation plan,2023-03-19,0
321,1053,Safety,Medium,50,76,Missing risk assessment,2023-01-16,0
322,1034,Maintenance,High,17,81,Incomplete description,2023-03-12,0
323,1079,Engineering,Medium,41,59,Missing risk assessment,2023-04-06,1
324,1060,Safety,High,28,52,Late submission,2023-05-27,1
325,1040,Operations,Low,6,94,No issue,2023-01-02,0
326,1099,Engineering,High,85,76,Late submission,2023-01-10,0
327,1032,Safety,Low,18,84,No issue,2023-06-27,0
328,1067,Operations,Low,14,80,No issue,2023-05-05,0
329,1032,Engineering,Medium,39,64,Late submission,2023-03-22,1
330,1013,Engineering,High,29,65,Late submission,2023-08-17,1
331,1020,Safety,High,7,62,Missing risk assessment,2023-05-20,1
332,1047,Quality,Low,21,98,Late submission,2023-03-11,0
333,1019,Engineering,Low,16,84,Missing risk assessment,2023-05-30,0
334,1007,Engineering,High,58,60,Missing risk assessment,2023-02-01,1
335,1006,Operations,Low,28,70,Missing risk assessment,2023-04-15,0
336,1066,Maintenance,Medium,33,100,No issue,2023-03-25,0
337,1016,Safety,High,47,60,No issue,2023-05-09,1
338,1032,Safety,Medium,29,79,Late submission,2023-07-01,0
339,1047,Quality,Low,64,97,No issue,2023-08-27,0
340,1075,Quality,Medium,69,84,Late submission,2023-02-27,0
341,1058,Safety,Low,88,71,No issue,2023-07-17,0
342,1085,Quality,High,32,87,Incomplete description,2023-07-30,0
343,1021,Operations,Medium,20,80,Incomplete description,2023-05-26,0
344,1029,Safety,High,51,63,Late submission,2023-05-14,1
345,1037,Quality,Low,85,73,No issue,2023-02-14,0
346,1050,Safety,High,62,99,No issue,2023-04-07,0
347,1053,Maintenance,Medium,80,98,Missing risk assessment,2023-01-23,0
348,1007,Engineering,Low,31,81,Poor mitigation plan,2023-01-23,0
349,1026,Safety,Low,57,85,Late submission,2023-06-03,0
350,1026,Engineering,Medium,46,81,Poor mitigation plan,2023-07-24,0
351,1097,Quality,Medium,63,64,Poor mitigation plan,2023-05-15,1
352,1020,Engineering,High,51,92,Late submission,2023-03-20,0
353,1029,Safety,Low,38,84,No issue,2023-02-13,0
354,1096,Maintenance,Low,41,52,Late submission,2023-01-27,1
355,1027,Quality,Medium,10,65,Poor mitigation plan,2023-01-26,1
356,1063,Safety,Low,11,54,No issue,2023-04-07,1
357,1096,Quality,Medium,29,70,Incomplete description,2023-07-26,0
358,1068,Operations,High,37,59,Late submission,2023-02-05,1
359,1060,Engineering,High,59,68,Late submission,2023-04-19,1
360,1047,Operations,High,62,74,No issue,2023-02-24,0
361,1018,Safety,Medium,11,53,Incomplete description,2023-07-11,1
362,1003,Maintenance,Low,61,78,Incomplete description,2023-08-07,0
363,1034,Quality,Medium,16,68,No issue,2023-07-04,1
364,1063,Engineering,Medium,20,92,Missing risk assessment,2023-03-10,0
365,1048,Quality,High,84,51,Late submission,2023-03-02,1
366,1016,Safety,Low,47,59,Late submission,2023-05-10,1
367,1043,Quality,Medium,81,92,Poor mitigation plan,2023-02-24,0
368,1091,Engineering,Low,11,74,No issue,2023-05-02,0
369,1029,Safety,Medium,55,69,Poor mitigation plan,2023-04-07,1
370,1092,Quality,High,77,97,Poor mitigation plan,2023-03-21,0
371,1045,Maintenance,Medium,36,68,Incomplete description,2023-03-28,1
372,1005,Safety,Low,79,72,Late submission,2023-02-07,0
373,1098,Safety,High,12,73,Poor mitigation plan,2023-04-29,0
374,1036,Maintenance,Medium,76,60,Incomplete description,2023-07-27,1
375,1023,Operations,Low,49,95,No issue,2023-03-19,0
376,1092,Engineering,Low,63,83,Poor mitigation plan,2023-06-06,0
377,1045,Operations,Low,8,77,Late submission,2023-06-03,0
378,1052,Quality,Low,71,54,Poor mitigation plan,2023-02-04,1
379,1094,Maintenance,High,33,54,No issue,2023-03-20,1
380,1098,Operations,Medium,33,100,Poor mitigation plan,2023-03-08,0
381,1059,Safety,High,32,70,Late submission,2023-03-28,0
382,1096,Quality,Low,81,61,Incomplete description,2023-06-06,1
383,1062,Quality,Low,83,99,Late submission,2023-02-03,0
384,1084,Operations,Medium,48,53,Incomplete description,2023-04-07,1
385,1031,Operations,Low,8,98,Missing risk assessment,2023-06-18,0
386,1086,Maintenance,Medium,13,91,Late submission,2023-06-18,0
387,1032,Engineering,High,9,69,Late submission,2023-05-31,1
388,1066,Operations,Medium,60,87,No issue,2023-03-12,0
389,1017,Operations,Medium,88,74,Poor mitigation plan,2023-01-03,0
390,1024,Safety,Low,54,63,Incomplete description,2023-02-27,1
391,1094,Quality,Low,79,60,Incomplete description,2023-02-01,1
392,1053,Engineering,Low,19,81,No issue,2023-01-31,0
393,1057,Safety,Medium,36,60,No issue,2023-03-23,1
394,1066,Maintenance,Low,32,67,Poor mitigation plan,2023-02-12,1
395,1045,Maintenance,Low,26,76,Poor mitigation plan,2023-05-15,0
396,1023,Operations,Medium,21,67,Late submission,2023-04-15,1
397,1031,Operations,Low,63,72,Missing risk assessment,2023-01-01,0
398,1046,Maintenance,Low,75,60,Poor mitigation plan,2023-03-02,1
399,1085,Operations,Low,61,70,No issue,2023-01-14,0
400,1022,Engineering,High,30,93,Poor mitigation plan,2023-06-29,0
401,1065,Operations,Medium,29,54,Incomplete description,2023-08-12,1
402,1026,Quality,Medium,14,72,Missing risk assessment,2023-01-06,0
403,1001,Operations,Low,49,90,Late submission,2023-04-13,0
404,1089,Safety,High,87,74,Incomplete description,2023-01-10,0
405,1016,Engineering,Medium,15,90,Incomplete description,2023-03-12,0
406,1032,Safety,Low,81,59,Missing risk assessment,2023-03-31,1
407,1008,Safety,High,57,71,Late submission,2023-08-14,0
408,1042,Quality,Low,76,68,No issue,2023-06-07,1
409,1047,Engineering,Medium,72,50,Late submission,2023-08-16,1
410,1038,Engineering,Medium,32,56,Poor mitigation plan,2023-05-29,1
411,1092,Engineering,Low,79,53,Incomplete description,2023-05-06,1
412,1041,Engineering,High,69,50,Poor mitigation plan,2023-07-07,1
413,1025,Engineering,Medium,53,64,No issue,2023-07-28,1
414,1098,Quality,Medium,51,89,Poor mitigation plan,2023-04-07,0
415,1049,Operations,Low,56,61,Late submission,2023-03-15,1
416,1024,Safety,Low,58,71,Poor mitigation plan,2023-04-25,0
417,1023,Engineering,Low,64,71,No issue,2023-07-10,0
418,1012,Operations,Medium,61,99,No issue,2023-08-27,0
419,1059,Operations,Low,51,96,No issue,2023-06-19,0
420,1006,Safety,Medium,35,66,Late submission,2023-02-20,1
421,1056,Quality,Medium,50,78,No issue,2023-07-11,0
422,1035,Maintenance,Low,30,95,Incomplete description,2023-07-23,0
423,1044,Maintenance,Medium,9,63,No issue,2023-02-25,1
424,1019,Operations,Low,88,99,Poor mitigation plan,2023-07-27,0
