ISP_ID,Engineer_ID,Department,Risk_Level,Completion_Time_Minutes,Quality_Score,Reason_for_Low_Quality,Date,Low_Quality,Predicted_Low_Quality,Prediction_Probability
40,1046,Quality,Medium,16,93,Missing risk assessment,7/25/2023,0,1,0.99
41,1061,Safety,Medium,74,67,No issue,3/20/2023,1,0,0.01
42,1050,Maintenance,Low,21,79,Poor mitigation plan,3/20/2023,0,0,0.69
43,1054,Operations,Medium,23,71,Missing risk assessment,3/11/2023,0,0,0.07
44,1063,Maintenance,Medium,30,82,Late submission,1/27/2023,0,0,0.33
45,1002,Engineering,Medium,52,79,Incomplete description,1/15/2023,0,0,0.23
46,1050,Maintenance,Medium,56,66,Poor mitigation plan,2/19/2023,1,1,0.89
47,1006,Engineering,Low,74,92,Missing risk assessment,2/5/2023,0,0,0.33
48,1020,Maintenance,Medium,59,81,Missing risk assessment,1/8/2023,0,0,0.16
49,1072,Engineering,Low,79,91,Missing risk assessment,3/20/2023,0,0,0.68
50,1038,Safety,Medium,37,100,Late submission,5/11/2023,0,0,0.17
51,1017,Quality,Medium,66,63,Late submission,7/9/2023,1,0,0.04
52,1003,Operations,Medium,27,59,Late submission,2/16/2023,1,0,0.6
53,1088,Maintenance,Medium,19,96,No issue,7/24/2023,0,0,0.3
54,1059,Quality,High,31,100,Missing risk assessment,4/15/2023,0,0,0.34
55,1013,Operations,High,79,85,Poor mitigation plan,4/8/2023,0,1,0.77
56,1008,Operations,High,68,83,Late submission,8/4/2023,0,1,0.87
57,1089,Engineering,High,85,58,Late submission,8/20/2023,1,0,0.55
58,1052,Safety,Low,55,91,Missing risk assessment,4/6/2023,0,1,0.8
59,1001,Safety,Low,57,77,Late submission,7/8/2023,0,1,0.84
60,1083,Quality,Medium,82,60,No issue,6/9/2023,1,0,0.51
61,1091,Safety,Low,86,63,No issue,8/10/2023,1,0,0.23
62,1059,Maintenance,Medium,55,88,Late submission,4/26/2023,0,1,0.83
63,1070,Safety,Low,51,96,Missing risk assessment,1/13/2023,0,0,0.21
64,1043,Quality,Medium,8,68,Missing risk assessment,1/1/2023,1,0,0.24
65,1007,Safety,Medium,11,64,Missing risk assessment,2/3/2023,1,0,0.34
66,1046,Maintenance,Medium,39,77,Incomplete description,7/9/2023,0,0,0.42
67,1034,Engineering,Medium,52,73,Late submission,3/20/2023,0,0,0.08
68,1077,Quality,High,77,57,Missing risk assessment,8/24/2023,1,0,0.47
69,1080,Engineering,Medium,76,92,No issue,3/19/2023,0,0,0.5
70,1035,Engineering,High,49,58,Poor mitigation plan,5/1/2023,1,0,0.2
71,1049,Engineering,Low,85,96,Poor mitigation plan,4/3/2023,0,0,0.4
72,1003,Operations,High,85,82,Missing risk assessment,4/8/2023,0,0,0.5
73,1001,Operations,Medium,76,82,Poor mitigation plan,3/23/2023,0,0,0.48
74,1005,Engineering,Low,23,68,Poor mitigation plan,7/18/2023,1,0,0.5
75,1053,Quality,Low,67,52,Incomplete description,8/9/2023,1,0,0.57
76,1003,Maintenance,Medium,42,59,No issue,6/8/2023,1,1,0.75
77,1053,Maintenance,Low,71,89,No issue,7/11/2023,0,1,0.97
78,1092,Safety,Low,63,96,Incomplete description,6/2/2023,0,1,0.79
79,1062,Quality,Medium,73,91,Incomplete description,2/7/2023,0,1,0.72
80,1017,Operations,Medium,17,50,Poor mitigation plan,1/14/2023,1,0,0.34
81,1089,Engineering,Medium,51,78,Late submission,5/16/2023,0,1,0.98
82,1043,Safety,High,65,99,Poor mitigation plan,4/1/2023,0,1,0.91
83,1033,Maintenance,Medium,35,83,Incomplete description,2/23/2023,0,1,0.7
84,1073,Operations,Medium,84,100,No issue,5/10/2023,0,0,0.34
85,1061,Operations,Low,26,62,Poor mitigation plan,7/28/2023,1,0,0.48
86,1099,Engineering,Medium,47,50,Late submission,4/11/2023,1,0,0.05
87,1013,Maintenance,Low,71,83,Poor mitigation plan,7/25/2023,0,0,0.61
88,1094,Quality,High,58,78,Missing risk assessment,3/30/2023,0,0,0.51
89,1047,Operations,High,14,97,Poor mitigation plan,2/25/2023,0,1,0.82
90,1014,Engineering,Medium,46,96,Incomplete description,4/4/2023,0,0,0.07
91,1071,Quality,Low,68,62,No issue,4/3/2023,1,1,0.75
92,1077,Maintenance,High,25,97,No issue,3/25/2023,0,1,0.86
93,1086,Operations,Medium,84,98,Incomplete description,3/26/2023,0,0,0.5
94,1061,Quality,Low,80,78,Missing risk assessment,7/8/2023,0,0,0.23
95,1039,Quality,Low,70,88,Incomplete description,1/22/2023,0,0,0.5
96,1084,Quality,Medium,45,73,Poor mitigation plan,2/4/2023,0,1,0.88
97,1079,Operations,Low,28,75,Incomplete description,8/17/2023,0,1,0.93
98,1081,Operations,High,39,66,Incomplete description,1/16/2023,1,0,0.09
99,1052,Safety,Medium,60,56,Missing risk assessment,2/19/2023,1,0,0.43
100,1023,Maintenance,Low,34,62,Poor mitigation plan,5/2/2023,1,1,0.9
101,1025,Engineering,High,61,54,Late submission,5/8/2023,1,0,0.68
102,1088,Quality,Low,51,75,Late submission,4/23/2023,0,0,0.52
103,1059,Safety,Medium,39,98,No issue,6/20/2023,0,0,0.58
104,1040,Engineering,Low,23,52,Incomplete description,1/17/2023,1,0,0.43
105,1028,Safety,Low,12,56,No issue,3/21/2023,1,1,0.74
106,1014,Operations,Medium,30,98,Missing risk assessment,7/5/2023,0,0,0.04
107,1044,Quality,Medium,75,88,Late submission,5/10/2023,0,1,0.75
108,1064,Engineering,Medium,34,50,Incomplete description,5/12/2023,1,0,0.14
109,1088,Engineering,Medium,11,98,Missing risk assessment,3/26/2023,0,1,0.94
110,1070,Engineering,Medium,71,66,Missing risk assessment,6/16/2023,1,0,0.48
111,1008,Engineering,Low,69,92,Incomplete description,8/14/2023,0,0,0.03
112,1087,Engineering,Low,40,74,Missing risk assessment,4/4/2023,0,0,0.65
113,1000,Safety,High,29,52,Incomplete description,5/14/2023,1,1,0.81
114,1007,Quality,Medium,41,64,Incomplete description,3/22/2023,1,1,0.76
115,1087,Operations,Medium,5,78,Poor mitigation plan,8/19/2023,0,1,0.77
116,1062,Operations,Low,19,92,No issue,8/5/2023,0,1,0.83
117,1010,Operations,Low,41,81,Missing risk assessment,3/10/2023,0,1,0.83
118,1080,Operations,Medium,17,75,Missing risk assessment,3/10/2023,0,0,0.06
119,1007,Safety,High,12,65,Poor mitigation plan,5/28/2023,1,0,0.02
120,1034,Maintenance,Medium,9,74,Poor mitigation plan,7/11/2023,0,1,0.85
121,1034,Quality,High,64,77,Poor mitigation plan,1/16/2023,0,0,0.45
122,1032,Engineering,Medium,77,58,Late submission,2/20/2023,1,1,0.73
123,1004,Maintenance,Low,5,50,Late submission,4/15/2023,1,0,0.64
124,1040,Operations,Medium,40,78,Late submission,6/14/2023,0,0,0.63
125,1027,Maintenance,Low,39,71,Incomplete description,8/20/2023,0,0,0.37
126,1006,Quality,Low,70,65,Missing risk assessment,7/20/2023,1,1,0.86
127,1072,Engineering,High,67,90,No issue,7/16/2023,0,0,0.52
128,1071,Engineering,Medium,27,100,Incomplete description,6/19/2023,0,0,0.66
129,1011,Quality,Medium,13,93,Missing risk assessment,7/4/2023,0,0,0.09
130,1033,Quality,Low,38,100,Missing risk assessment,3/7/2023,0,0,0.22
131,1032,Operations,Low,50,90,Poor mitigation plan,1/9/2023,0,0,0.44
132,1047,Engineering,Low,82,56,Poor mitigation plan,4/17/2023,1,0,0.47
133,1022,Maintenance,Low,8,63,Incomplete description,4/10/2023,1,0,0.53
134,1061,Safety,Medium,34,78,Poor mitigation plan,3/27/2023,0,0,0.61
135,1087,Safety,Low,79,68,Missing risk assessment,3/5/2023,1,0,0.19
136,1036,Quality,Medium,76,68,Poor mitigation plan,8/2/2023,1,0,0.27
137,1098,Operations,Low,7,51,Late submission,1/22/2023,1,1,0.99
138,1043,Safety,Low,18,90,Poor mitigation plan,6/11/2023,0,0,0.35
139,1085,Engineering,Low,64,94,Missing risk assessment,7/2/2023,0,0,0.29
140,1090,Quality,Medium,81,64,Incomplete description,6/6/2023,1,0,0.56
141,1034,Maintenance,Medium,49,52,No issue,6/15/2023,1,0,0.56
142,1064,Quality,Medium,38,60,Poor mitigation plan,4/20/2023,1,0,0.17
143,1098,Maintenance,Medium,49,95,Missing risk assessment,4/7/2023,0,0,0.27
144,1046,Quality,Medium,65,79,No issue,1/18/2023,0,0,0.04
145,1077,Quality,Low,87,89,No issue,3/12/2023,0,0,0.22
146,1002,Quality,Low,20,67,Late submission,7/12/2023,1,0,0.52
147,1000,Maintenance,High,70,100,No issue,5/7/2023,0,0,0.04
148,1004,Maintenance,Medium,44,97,Missing risk assessment,4/7/2023,0,0,0.01
149,1089,Quality,Low,21,51,Missing risk assessment,1/1/2023,1,1,0.82
150,1013,Safety,High,38,81,Poor mitigation plan,8/4/2023,0,0,0.39
151,1026,Operations,Medium,20,57,Poor mitigation plan,5/12/2023,1,0,0.07
152,1008,Operations,Low,64,71,Poor mitigation plan,1/4/2023,0,0,0.53
153,1078,Operations,Medium,70,55,No issue,5/5/2023,1,0,0.3
154,1014,Maintenance,Medium,70,61,No issue,3/23/2023,1,0,0.09
155,1089,Maintenance,Medium,17,96,Late submission,1/27/2023,0,0,0.65
156,1041,Safety,Low,60,89,Poor mitigation plan,6/20/2023,0,0,0.26
157,1076,Operations,Low,35,85,Incomplete description,2/28/2023,0,1,0.93
158,1050,Operations,Medium,38,64,Late submission,2/1/2023,1,0,0.14
159,1062,Quality,Medium,43,77,Incomplete description,6/10/2023,0,0,0.47
160,1095,Maintenance,High,71,98,No issue,1/28/2023,0,1,0.7
161,1051,Operations,Medium,12,94,Late submission,4/16/2023,0,0,0.48
162,1095,Safety,Low,82,67,Late submission,4/15/2023,1,0,0.53
163,1003,Safety,Medium,59,51,Missing risk assessment,7/2/2023,1,0,0.04
164,1093,Operations,Low,31,62,No issue,8/16/2023,1,0,0.17
165,1022,Maintenance,Medium,57,94,No issue,7/7/2023,0,0,0.5
166,1014,Safety,Medium,43,64,Late submission,3/11/2023,1,1,0.93
167,1042,Quality,Low,69,69,No issue,3/3/2023,1,1,0.96
168,1028,Safety,Medium,21,78,Late submission,7/27/2023,0,0,0.65
169,1035,Engineering,Low,34,91,Missing risk assessment,2/3/2023,0,0,0.6
170,1012,Engineering,Low,57,78,Late submission,3/28/2023,0,0,0.22
171,1031,Maintenance,Low,17,52,No issue,4/24/2023,1,0,0.15
172,1070,Operations,Low,25,68,No issue,4/16/2023,1,0,0.48
173,1058,Maintenance,High,23,52,Late submission,8/4/2023,1,0,0.39
174,1085,Maintenance,Medium,57,63,Late submission,2/25/2023,1,1,0.78
175,1027,Maintenance,Low,23,89,Late submission,4/23/2023,0,0,0.69
176,1065,Maintenance,Medium,61,53,Poor mitigation plan,1/13/2023,1,0,0.67
177,1041,Quality,Low,29,60,No issue,7/3/2023,1,1,0.81
178,1044,Quality,High,35,80,No issue,1/18/2023,0,1,0.87
179,1061,Safety,Medium,85,92,Poor mitigation plan,7/1/2023,0,0,0.31
180,1056,Engineering,Medium,59,81,Late submission,7/24/2023,0,1,0.87
181,1005,Maintenance,Low,27,76,Missing risk assessment,4/23/2023,0,1,0.83
182,1027,Safety,Medium,36,79,Late submission,8/17/2023,0,0,0.13
183,1027,Engineering,Medium,66,92,Late submission,6/20/2023,0,0,0.03
184,1043,Operations,High,78,51,Poor mitigation plan,2/8/2023,1,1,0.8
185,1083,Quality,Low,14,98,No issue,7/8/2023,0,0,0.51
186,1029,Engineering,Low,76,58,Late submission,6/19/2023,1,1,0.84
187,1061,Operations,High,58,77,No issue,7/28/2023,0,1,0.99
188,1074,Engineering,Medium,56,80,Incomplete description,3/20/2023,0,0,0.09
189,1091,Quality,Low,24,83,No issue,5/26/2023,0,1,0.86
190,1088,Quality,Low,36,64,Missing risk assessment,5/31/2023,1,0,0.36
191,1061,Safety,High,18,97,Missing risk assessment,7/1/2023,0,1,0.84
192,1096,Maintenance,Low,54,74,Late submission,1/30/2023,0,0,0.26
193,1000,Engineering,Medium,32,85,No issue,4/8/2023,0,1,0.73
194,1026,Engineering,Medium,57,57,Late submission,2/27/2023,1,0,0.41
195,1061,Operations,Low,28,58,Poor mitigation plan,7/15/2023,1,0,0.03
196,1076,Quality,Medium,83,86,Missing risk assessment,3/8/2023,0,1,0.74
197,1002,Engineering,Low,26,97,Late submission,3/12/2023,0,0,0.06
198,1069,Quality,Low,34,94,Poor mitigation plan,5/26/2023,0,0,0.5
199,1071,Engineering,Medium,67,88,Late submission,4/16/2023,0,1,0.89
200,1026,Safety,High,8,81,No issue,1/7/2023,0,1,0.76
201,1008,Maintenance,Medium,81,66,No issue,2/9/2023,1,0,0.46
202,1061,Engineering,Medium,63,84,No issue,3/11/2023,0,1,0.86
203,1036,Quality,Low,12,86,No issue,8/2/2023,0,0,0.4
204,1096,Safety,Low,86,68,Incomplete description,7/12/2023,1,0,0.32
205,1050,Engineering,Low,16,93,Poor mitigation plan,3/9/2023,0,0,0.38
206,1043,Operations,Low,35,78,Poor mitigation plan,8/26/2023,0,1,0.95
207,1023,Maintenance,Low,82,56,No issue,2/18/2023,1,0,0.43
208,1078,Engineering,Low,38,77,Incomplete description,2/21/2023,0,1,0.95
209,1058,Safety,Low,86,58,No issue,4/24/2023,1,1,0.97
210,1031,Operations,Low,79,77,Incomplete description,4/17/2023,0,0,0.41
211,1095,Safety,Medium,80,55,No issue,1/29/2023,1,0,0.05
212,1087,Safety,High,53,78,Missing risk assessment,5/29/2023,0,0,0.02
213,1051,Operations,Low,83,66,Missing risk assessment,8/6/2023,1,1,0.89
214,1061,Safety,High,61,65,Late submission,3/19/2023,1,0,0.66
215,1057,Operations,High,30,72,No issue,1/9/2023,0,0,0.04
216,1051,Engineering,Low,22,80,Poor mitigation plan,6/24/2023,0,0,0.52
217,1011,Operations,Medium,42,52,Late submission,3/17/2023,1,0,0.38
218,1038,Operations,Medium,85,70,Missing risk assessment,2/11/2023,0,0,0.58
219,1001,Maintenance,Medium,54,75,No issue,6/28/2023,0,0,0.27
220,1002,Operations,Low,12,85,Late submission,7/3/2023,0,1,0.74
221,1055,Operations,Medium,45,91,No issue,6/28/2023,0,0,0.26
222,1080,Engineering,Low,10,86,Missing risk assessment,7/17/2023,0,0,0.52
223,1058,Maintenance,Medium,73,71,Late submission,5/8/2023,0,0,0.57
224,1001,Quality,Medium,48,91,Missing risk assessment,1/20/2023,0,1,0.88
225,1001,Engineering,Medium,68,61,Incomplete description,8/4/2023,1,1,0.77
226,1091,Engineering,Medium,33,91,Missing risk assessment,6/4/2023,0,0,0.25
227,1053,Quality,Medium,32,62,No issue,6/15/2023,1,0,0.12
228,1086,Operations,Low,15,60,Poor mitigation plan,3/13/2023,1,0,0.31
229,1095,Safety,Low,69,65,Missing risk assessment,3/6/2023,1,0,0.41
230,1096,Maintenance,High,23,57,Poor mitigation plan,7/1/2023,1,1,0.84
231,1000,Safety,Low,13,89,Incomplete description,4/23/2023,0,0,0.04
232,1018,Quality,Low,31,89,Late submission,1/24/2023,0,0,0.64
233,1001,Engineering,Low,38,94,Late submission,5/8/2023,0,0,0.69
234,1052,Engineering,Low,48,51,Poor mitigation plan,6/24/2023,1,0,0.47
235,1043,Maintenance,High,72,79,Late submission,7/18/2023,0,0,0.01
236,1089,Engineering,Medium,86,79,Missing risk assessment,3/24/2023,0,0,0.28
237,1031,Engineering,High,19,61,Poor mitigation plan,8/2/2023,1,1,0.8
238,1069,Maintenance,Medium,55,59,No issue,3/4/2023,1,0,0.44
239,1031,Maintenance,Medium,17,93,Missing risk assessment,7/4/2023,0,0,0.28
240,1067,Quality,Low,87,60,Missing risk assessment,7/2/2023,1,0,0.07
241,1054,Engineering,Medium,53,64,Missing risk assessment,3/1/2023,1,0,0.58
242,1074,Engineering,Low,74,65,No issue,4/9/2023,1,0,0.47
243,1055,Quality,High,60,66,Incomplete description,3/3/2023,1,0,0.31
244,1016,Operations,High,80,75,Late submission,1/30/2023,0,1,0.84
245,1037,Operations,Low,55,51,Poor mitigation plan,8/9/2023,1,1,0.98
246,1023,Operations,High,41,99,Incomplete description,1/22/2023,0,0,0.67
247,1068,Quality,High,21,61,Poor mitigation plan,7/22/2023,1,1,0.83
248,1097,Engineering,Medium,62,100,Late submission,7/31/2023,0,0,0.07
249,1069,Quality,Low,33,75,No issue,5/6/2023,0,0,0.52
250,1085,Quality,Medium,37,72,Missing risk assessment,6/6/2023,0,0,0.67
251,1010,Operations,Medium,64,67,Missing risk assessment,6/18/2023,1,1,0.79
252,1015,Safety,Low,59,81,No issue,2/11/2023,0,1,0.95
253,1096,Engineering,Low,14,98,Incomplete description,4/8/2023,0,0,0.57
254,1072,Operations,Medium,51,87,Incomplete description,7/12/2023,0,0,0.3
255,1058,Safety,Low,27,96,Poor mitigation plan,1/31/2023,0,0,0.28
256,1069,Safety,Medium,89,52,No issue,6/7/2023,1,1,0.8
257,1079,Maintenance,High,25,87,Incomplete description,4/22/2023,0,1,0.93
258,1092,Engineering,High,17,52,No issue,5/26/2023,1,0,0.46
259,1002,Safety,Low,37,79,Late submission,5/2/2023,0,0,0.41
260,1019,Operations,High,28,50,Missing risk assessment,1/17/2023,1,1,1
261,1058,Maintenance,Low,15,79,Missing risk assessment,2/7/2023,0,0,0.6
262,1035,Engineering,Low,21,94,Missing risk assessment,5/22/2023,0,0,0.14
263,1018,Quality,Medium,72,81,No issue,8/3/2023,0,0,0.22
264,1089,Operations,Low,51,77,No issue,8/5/2023,0,0,0.09
265,1066,Safety,Low,29,70,Poor mitigation plan,7/26/2023,0,0,0.45
266,1018,Safety,Medium,77,95,Missing risk assessment,4/20/2023,0,1,0.88
267,1019,Operations,Low,25,62,Poor mitigation plan,7/3/2023,1,1,0.9
268,1095,Safety,Low,88,76,Missing risk assessment,1/22/2023,0,0,0.22
269,1070,Maintenance,Medium,87,85,Poor mitigation plan,7/14/2023,0,0,0.46
270,1051,Engineering,Medium,87,56,Poor mitigation plan,2/25/2023,1,1,0.95
271,1032,Maintenance,Medium,16,71,Late submission,4/29/2023,0,1,0.81
272,1039,Safety,Low,41,59,Poor mitigation plan,5/27/2023,1,1,0.85
273,1038,Quality,Medium,46,88,No issue,2/26/2023,0,1,0.92
274,1081,Engineering,Low,21,64,Poor mitigation plan,6/21/2023,1,0,0.17
275,1000,Engineering,Low,52,64,Missing risk assessment,8/14/2023,1,0,0.66
276,1010,Operations,Medium,32,53,Poor mitigation plan,2/4/2023,1,1,0.72
277,1091,Operations,Low,45,81,Incomplete description,4/24/2023,0,0,0.33
278,1056,Quality,Low,51,72,Missing risk assessment,5/5/2023,0,0,0.66
279,1088,Engineering,Medium,22,55,Incomplete description,5/9/2023,1,0,0.02
280,1049,Quality,Medium,82,73,Missing risk assessment,2/21/2023,0,0,0.43
281,1022,Operations,Medium,75,69,No issue,3/26/2023,1,0,0.02
282,1030,Operations,Low,17,86,No issue,8/9/2023,0,1,0.72
283,1093,Engineering,Low,86,69,No issue,7/17/2023,1,0,0.42
284,1041,Maintenance,Low,17,61,Incomplete description,6/14/2023,1,1,0.95
285,1098,Safety,Low,35,82,Late submission,3/6/2023,0,0,0.38
286,1006,Operations,Medium,6,77,Missing risk assessment,6/28/2023,0,0,0.57
287,1015,Operations,High,20,57,No issue,5/9/2023,1,0,0.57
288,1089,Maintenance,Medium,13,50,Missing risk assessment,8/7/2023,1,0,0.36
289,1059,Maintenance,Medium,77,86,Incomplete description,1/21/2023,0,0,0.31
290,1001,Quality,Medium,42,71,Late submission,6/30/2023,0,0,0.33
291,1000,Quality,Medium,79,55,Incomplete description,1/16/2023,1,1,0.95
292,1047,Safety,Low,58,70,Missing risk assessment,8/24/2023,0,0,0.2
293,1011,Safety,Medium,60,81,Late submission,5/3/2023,0,0,0.59
294,1068,Engineering,Medium,49,84,Late submission,3/2/2023,0,1,0.95
295,1036,Quality,Low,38,64,Incomplete description,2/23/2023,1,0,0.04
296,1031,Operations,Low,13,54,No issue,6/17/2023,1,0,0.24
297,1008,Quality,High,12,95,Missing risk assessment,1/26/2023,0,0,0.58
298,1098,Operations,Low,11,99,Poor mitigation plan,3/21/2023,0,1,0.72
299,1018,Maintenance,Low,40,97,Poor mitigation plan,8/8/2023,0,1,0.94
300,1047,Quality,Medium,22,55,Incomplete description,3/6/2023,1,1,0.7
301,1079,Maintenance,Medium,7,74,Missing risk assessment,4/10/2023,0,0,0.67
302,1002,Safety,Medium,32,95,Missing risk assessment,3/15/2023,0,0,0.43
303,1019,Safety,Medium,74,89,Incomplete description,7/11/2023,0,0,0.16
304,1023,Engineering,Low,48,78,Missing risk assessment,6/20/2023,0,0,0.25
305,1053,Quality,Medium,25,56,No issue,1/17/2023,1,1,0.93
306,1032,Maintenance,Low,32,89,Incomplete description,5/1/2023,0,1,0.74
307,1023,Operations,High,58,62,No issue,7/6/2023,1,0,0.5
308,1074,Safety,Medium,58,87,Missing risk assessment,1/23/2023,0,0,0.58
309,1071,Safety,Low,69,67,Incomplete description,5/15/2023,1,0,0.24
310,1035,Operations,Low,25,51,Missing risk assessment,6/21/2023,1,1,0.72
311,1037,Maintenance,Low,17,57,Incomplete description,6/30/2023,1,0,0.61
312,1083,Maintenance,Low,61,60,Missing risk assessment,3/12/2023,1,0,0.12
313,1098,Quality,Low,53,82,No issue,4/18/2023,0,0,0.31
314,1088,Quality,Medium,58,87,No issue,3/20/2023,0,0,0.63
315,1098,Engineering,Medium,14,97,Missing risk assessment,6/11/2023,0,0,0.63
316,1024,Safety,Low,57,76,Incomplete description,2/15/2023,0,0,0.37
317,1092,Quality,Low,48,69,Poor mitigation plan,8/25/2023,1,0,0.69
318,1017,Maintenance,Low,51,61,No issue,7/15/2023,1,0,0.11
319,1081,Operations,High,57,92,No issue,7/25/2023,0,0,0.02
320,1065,Maintenance,Low,78,80,Poor mitigation plan,3/19/2023,0,1,0.82
321,1053,Safety,Medium,50,76,Missing risk assessment,1/16/2023,0,1,0.73
322,1034,Maintenance,High,17,81,Incomplete description,3/12/2023,0,0,0.41
323,1079,Engineering,Medium,41,59,Missing risk assessment,4/6/2023,1,0,0.28
324,1060,Safety,High,28,52,Late submission,5/27/2023,1,1,0.79
325,1040,Operations,Low,6,94,No issue,1/2/2023,0,0,0.6
326,1099,Engineering,High,85,76,Late submission,1/10/2023,0,1,0.81
327,1032,Safety,Low,18,84,No issue,6/27/2023,0,0,0.07
328,1067,Operations,Low,14,80,No issue,5/5/2023,0,0,0.31
329,1032,Engineering,Medium,39,64,Late submission,3/22/2023,1,1,0.92
330,1013,Engineering,High,29,65,Late submission,8/17/2023,1,0,0.47
331,1020,Safety,High,7,62,Missing risk assessment,5/20/2023,1,0,0.46
332,1047,Quality,Low,21,98,Late submission,3/11/2023,0,0,0.45
333,1019,Engineering,Low,16,84,Missing risk assessment,5/30/2023,0,1,0.87
334,1007,Engineering,High,58,60,Missing risk assessment,2/1/2023,1,0,0.03
335,1006,Operations,Low,28,70,Missing risk assessment,4/15/2023,0,0,0.61
336,1066,Maintenance,Medium,33,100,No issue,3/25/2023,0,0,0.36
337,1016,Safety,High,47,60,No issue,5/9/2023,1,0,0.53
338,1032,Safety,Medium,29,79,Late submission,7/1/2023,0,0,0.27
339,1047,Quality,Low,64,97,No issue,8/27/2023,0,0,0.37
340,1075,Quality,Medium,69,84,Late submission,2/27/2023,0,0,0.48
341,1058,Safety,Low,88,71,No issue,7/17/2023,0,0,0.44
342,1085,Quality,High,32,87,Incomplete description,7/30/2023,0,0,0.27
343,1021,Operations,Medium,20,80,Incomplete description,5/26/2023,0,0,0.66
344,1029,Safety,High,51,63,Late submission,5/14/2023,1,1,0.78
345,1037,Quality,Low,85,73,No issue,2/14/2023,0,1,0.7
346,1050,Safety,High,62,99,No issue,4/7/2023,0,0,0.44
347,1053,Maintenance,Medium,80,98,Missing risk assessment,1/23/2023,0,0,0.38
348,1007,Engineering,Low,31,81,Poor mitigation plan,1/23/2023,0,1,0.76
349,1026,Safety,Low,57,85,Late submission,6/3/2023,0,0,0.45
350,1026,Engineering,Medium,46,81,Poor mitigation plan,7/24/2023,0,1,0.78
351,1097,Quality,Medium,63,64,Poor mitigation plan,5/15/2023,1,0,0.17
352,1020,Engineering,High,51,92,Late submission,3/20/2023,0,0,0.43
353,1029,Safety,Low,38,84,No issue,2/13/2023,0,1,0.76
354,1096,Maintenance,Low,41,52,Late submission,1/27/2023,1,0,0.54
355,1027,Quality,Medium,10,65,Poor mitigation plan,1/26/2023,1,0,0.56
356,1063,Safety,Low,11,54,No issue,4/7/2023,1,1,0.96
357,1096,Quality,Medium,29,70,Incomplete description,7/26/2023,0,0,0.39
